KEV,INTENSITY
0.37773,4.16546
0.38513,4.11219
0.39254,4.05905
0.39995,4.01246
0.40735,3.96225
0.41476,3.91322
0.42217,3.86467
0.42957,3.81792
0.43698,3.77159
0.44439,3.72737
0.45179,3.68787
0.45920,3.64164
0.46660,3.6011
0.47401,3.56289
0.48142,3.52187
0.48882,3.47554
0.49623,3.44765
0.50364,3.41066
0.51104,3.37722
0.51845,3.33837
0.52586,3.30873
0.53326,3.28451
0.54067,3.24562
0.54807,3.22306
0.55548,3.18696
0.56289,3.16333
0.57029,3.13342
0.57770,3.11442
0.58511,3.0862
0.59251,3.06856
0.59992,3.04006
0.60733,3.02062
0.61473,2.99584
0.62214,2.96628
0.62955,2.94883
0.63695,2.93222
0.64436,2.92533
0.65176,2.8771
0.65917,2.86713
0.66658,2.84448
0.67398,2.84026
0.68139,2.82341
0.68880,2.79375
0.69620,2.77626
0.70361,2.75769
0.71102,2.73305
0.71842,2.7354
0.72583,2.72647
0.73324,2.69231
0.74064,2.68524
0.74805,2.66248
0.75545,2.66014
0.76286,2.65187
0.77027,2.61961
0.77767,2.6064
0.78508,2.60605
0.79249,2.57259
0.79989,2.58075
0.80730,2.56627
0.81471,2.52365
0.82211,2.53455
0.82952,2.5358
0.83693,2.52575
0.84433,2.51117
0.85174,2.52887
0.85914,2.50116
0.86655,2.49346
0.87396,2.48247
0.88136,2.47253
0.88877,2.46358
0.89618,2.44787
0.90358,2.43259
0.91099,2.43597
0.91840,2.43676
0.92580,2.42637
0.93321,2.41083
0.94061,2.40814
0.94802,2.39783
0.95543,2.40438
0.96283,2.38934
0.97024,2.38402
0.97765,2.37846
0.98505,2.37075
0.99246,2.37293
0.99987,2.34278
1.00727,2.31421
1.01468,2.28428
1.02209,2.26565
1.02949,2.26838
1.03690,2.27819
1.04430,2.28395
1.05171,2.30608
1.05912,2.31532
1.06652,2.30508
1.07393,2.29222
1.08134,2.26323
1.08874,2.27296
1.09615,2.27964
1.10356,2.24683
1.11096,2.2473
1.11837,2.21417
1.12578,2.23257
1.13318,2.23614
1.14059,2.22181
1.14799,2.20818
1.15540,2.20025
1.16281,2.17028
1.17021,2.17569
1.17762,2.17421
1.18503,2.17207
1.19243,2.13717
1.19984,2.11793
