2-THETA,INTENSITY
2,4352
2.05,6619
2.1,6856
2.15,6352
2.2,7596
2.25,5032
2.3,6895
2.35,4916
2.4,6049
2.45,6212
2.5,5067
2.55,6125
2.6,4431
2.65,5179
2.7,4983
2.75,4434
2.8,4295
2.85,4322
2.9,4157
2.95,3882
3,3856
3.05,3739
3.1,3291
3.15,3360
3.2,3667
3.25,2966
3.3,3260
3.35,2722
3.4,2820
3.45,3064
3.5,2565
3.55,2646
3.6,2472
3.65,2504
3.7,2528
3.75,1897
3.8,2144
3.85,1953
3.9,2228
3.95,2308
4,1798
4.05,2089
4.1,1704
4.15,1892
4.2,1829
4.25,1685
4.3,1611
4.35,1556
4.4,1707
4.45,1534
4.5,1514
4.55,1565
4.6,1468
4.65,1483
4.7,1570
4.75,1376
4.8,1305
4.85,1267
4.9,1285
4.95,1362
5,1289
5.05,1219
5.1,1250
5.15,1182
5.2,1257
5.25,1182
5.3,1199
5.35,1090
5.4,1050
5.45,1103
5.5,1034
5.55,1067
5.6,1056
5.65,1007
5.7,1004
5.75,983
5.8,1082
5.85,950
5.9,998
5.95,954
6,941
6.05,882
6.1,978
6.15,880
6.2,917
6.25,909
6.3,793
6.35,834
6.4,822
6.45,769
6.5,779
6.55,817
6.6,794
6.65,789
6.7,761
6.75,831
6.8,724
6.85,855
6.9,822
6.95,749
7,717
7.05,756
7.1,751
7.15,751
7.2,765
7.25,870
7.3,687
7.35,676
7.4,758
7.45,726
7.5,695
7.55,704
7.6,675
7.65,641
7.7,689
7.75,692
7.8,707
7.85,708
7.9,664
7.95,635
8,629
8.05,723
8.1,689
8.15,674
8.2,695
8.25,704
8.3,715
8.35,688
8.4,665
8.45,664
8.5,655
8.55,667
8.6,685
8.65,669
8.7,632
8.75,682
8.8,682
8.85,690
8.9,676
8.95,679
9,679
9.05,669
9.1,700
9.15,710
9.2,718
9.25,669
9.3,631
9.35,620
9.4,718
9.45,690
9.5,640
9.55,718
9.6,645
9.65,659
9.7,725
9.75,700
9.8,675
9.85,697
9.9,675
9.95,684
10,695
10.05,721
10.1,675
10.15,719
10.2,636
10.25,747
10.3,711
10.35,630
10.4,726
10.45,680
10.5,700
10.55,703
10.6,726
10.65,696
10.7,709
10.75,706
10.8,654
10.85,666
10.9,694
10.95,675
11,717
11.05,597
11.1,604
11.15,635
11.2,602
11.25,637
11.3,569
11.35,618
11.4,553
11.45,545
11.5,562
11.55,550
11.6,551
11.65,559
11.7,537
11.75,559
11.8,540
11.85,531
11.9,518
11.95,538
12,540
12.05,559
12.1,552
12.15,501
12.2,496
12.25,494
12.3,540
12.35,537
12.4,554
12.45,526
12.5,522
12.55,544
12.6,507
12.65,499
12.7,493
12.75,521
12.8,548
12.85,510
12.9,540
12.95,510
13,568
13.05,523
13.1,519
13.15,478
13.2,559
13.25,518
13.3,592
13.35,564
13.4,550
13.45,600
13.5,599
13.55,627
13.6,660
13.65,759
13.7,799
13.75,816
13.8,913
13.85,890
13.9,866
13.95,881
14,807
14.05,746
14.1,698
14.15,679
14.2,610
14.25,549
14.3,561
14.35,553
14.4,559
14.45,555
14.5,544
14.55,532
14.6,525
14.65,503
14.7,488
14.75,519
14.8,533
14.85,528
14.9,556
14.95,500
15,513
15.05,512
15.1,518
15.15,502
15.2,515
15.25,534
15.3,506
15.35,538
15.4,466
15.45,480
15.5,495
15.55,528
15.6,559
15.65,479
15.7,480
15.75,520
15.8,536
15.85,578
15.9,597
15.95,620
16,611
16.05,633
16.1,585
16.15,621
16.2,552
16.25,609
16.3,580
16.35,556
16.4,530
16.45,525
16.5,491
16.55,485
16.6,494
16.65,527
16.7,551
16.75,565
16.8,471
16.85,519
16.9,523
16.95,518
17,528
17.05,557
17.1,573
17.15,534
17.2,582
17.25,569
17.3,598
17.35,580
17.4,622
17.45,625
17.5,644
17.55,633
17.6,579
17.65,608
17.7,578
17.75,602
17.8,562
17.85,574
17.9,591
17.95,600
18,614
18.05,619
18.1,615
18.15,619
18.2,619
18.25,642
18.3,624
18.35,628
18.4,610
18.45,608
18.5,577
18.55,606
18.6,625
18.65,634
18.7,628
18.75,647
18.8,610
18.85,665
18.9,605
18.95,591
19,626
19.05,601
19.1,643
19.15,623
19.2,618
19.25,684
19.3,665
19.35,687
19.4,705
19.45,745
19.5,730
19.55,765
19.6,770
19.65,760
19.7,770
19.75,766
19.8,733
19.85,728
19.9,727
19.95,676
20,700
20.05,671
20.1,689
20.15,716
20.2,709
20.25,735
20.3,768
20.35,793
20.4,775
20.45,778
20.5,765
20.55,736
20.6,726
20.65,726
20.7,716
20.75,674
20.8,646
20.85,637
20.9,643
20.95,655
21,617
21.05,665
21.1,660
21.15,643
21.2,687
21.25,679
21.3,657
21.35,655
21.4,696
21.45,714
21.5,698
21.55,680
21.6,653
21.65,656
21.7,682
21.75,672
21.8,666
21.85,699
21.9,654
21.95,709
22,693
22.05,717
22.1,699
22.15,691
22.2,713
22.25,696
22.3,688
22.35,685
22.4,712
22.45,748
22.5,734
22.55,770
22.6,761
22.65,743
22.7,782
22.75,744
22.8,784
22.85,788
22.9,784
22.95,790
23,806
23.05,806
23.1,825
23.15,864
23.2,834
23.25,796
23.3,819
23.35,815
23.4,827
23.45,813
23.5,805
23.55,800
23.6,775
23.65,790
23.7,818
23.75,779
23.8,766
23.85,773
23.9,789
23.95,847
24,802
24.05,797
24.1,803
24.15,791
24.2,788
24.25,822
24.3,801
24.35,809
24.4,817
24.45,857
24.5,848
24.55,822
24.6,844
24.65,827
24.7,824
24.75,845
24.8,851
24.85,855
24.9,823
24.95,824
25,793
25.05,813
25.1,778
25.15,798
25.2,844
25.25,822
25.3,849
25.35,883
25.4,939
25.45,1012
25.5,1142
25.55,1179
25.6,1237
25.65,1315
25.7,1301
25.75,1224
25.8,1100
25.85,1001
25.9,927
