sol,latitude_crism,longitude_crism,elevation
125,-4.589865045,137.449276988,-4520.001
125,-4.589864866,137.449277511,-4519.995
125,-4.589864864,137.449277723,-4519.985
125,-4.589862141,137.44928999,-4520.049
125,-4.589859102,137.449301909,-4520.074
125,-4.589856636,137.449313817,-4520.129
125,-4.589854152,137.449325242,-4520.179
125,-4.589853858,137.449324453,-4520.158
125,-4.589847888,137.449334724,-4520.195
125,-4.589842001,137.449344897,-4520.236
125,-4.58983567,137.449355695,-4520.27
125,-4.589830035,137.449365668,-4520.33
125,-4.589823933,137.449376524,-4520.422
125,-4.589817496,137.449388129,-4520.552
125,-4.589811785,137.449398848,-4520.665
125,-4.589804151,137.449412717,-4520.764
125,-4.589796558,137.449426636,-4520.84
125,-4.5897886,137.449440989,-4520.901
125,-4.589780835,137.449455337,-4520.963
125,-4.589772811,137.449469559,-4521.016
125,-4.589764964,137.449483737,-4521.069
125,-4.589764964,137.449483737,-4521.069
125,-4.589743485,137.449458315,-4521.107
125,-4.589722058,137.449432843,-4521.039
125,-4.589700695,137.449407327,-4520.958
125,-4.589679427,137.449381702,-4520.923
125,-4.589658145,137.449356082,-4520.928
125,-4.589636715,137.449330598,-4520.89
125,-4.589636715,137.449330598,-4520.89
125,-4.589636715,137.449330598,-4520.89
125,-4.589636715,137.449330598,-4520.89
