sol,planetocentric_latitude,planetodetic_latitude,longitude,elevation
125,-4.589865045,-4.644140763,137.449276988,-4520.001
125,-4.589864866,-4.644140582,137.449277511,-4519.995
125,-4.589864864,-4.64414058,137.449277723,-4519.985
125,-4.589862141,-4.644137825,137.44928999,-4520.049
125,-4.589859102,-4.644134751,137.449301909,-4520.074
125,-4.589856636,-4.644132256,137.449313817,-4520.129
125,-4.589854152,-4.644129742,137.449325242,-4520.179
125,-4.589853858,-4.644129445,137.449324453,-4520.158
125,-4.589847888,-4.644123405,137.449334724,-4520.195
125,-4.589842001,-4.644117449,137.449344897,-4520.236
125,-4.58983567,-4.644111044,137.449355695,-4520.27
125,-4.589830035,-4.644105343,137.449365668,-4520.33
125,-4.589823933,-4.64409917,137.449376524,-4520.422
125,-4.589817496,-4.644092657,137.449388129,-4520.552
125,-4.589811785,-4.644086879,137.449398848,-4520.665
125,-4.589804151,-4.644079155,137.449412717,-4520.764
125,-4.589796558,-4.644071474,137.449426636,-4520.84
125,-4.5897886,-4.644063422,137.449440989,-4520.901
125,-4.589780835,-4.644055566,137.449455337,-4520.963
125,-4.589772811,-4.644047448,137.449469559,-4521.016
125,-4.589764964,-4.644039509,137.449483737,-4521.069
125,-4.589764964,-4.644039509,137.449483737,-4521.069
125,-4.589743485,-4.644017778,137.449458315,-4521.107
125,-4.589722058,-4.6439961,137.449432843,-4521.039
125,-4.589700695,-4.643974487,137.449407327,-4520.958
125,-4.589679427,-4.64395297,137.449381702,-4520.923
125,-4.589658145,-4.643931438,137.449356082,-4520.928
125,-4.589636715,-4.643909756,137.449330598,-4520.89
125,-4.589636715,-4.643909756,137.449330598,-4520.89
125,-4.589636715,-4.643909756,137.449330598,-4520.89
125,-4.589636715,-4.643909756,137.449330598,-4520.89
