sol,planetocentric_latitude,planetodetic_latitude,longitude,elevation
-1,-4.589466996,-4.643738049,137.441632997,-4501.04
0,-4.589466996,-4.643738049,137.441632997,-4501.04
0,-4.589466996,-4.643738049,137.441632997,-4501.04
0,-4.589466996,-4.643738049,137.441632997,-4501.04
0,-4.589466996,-4.643738049,137.441632997,-4501.04
0,-4.589466996,-4.643738049,137.441632997,-4501.04
-1,-4.589466996,-4.643738049,137.441632997,-4501.04
13,-4.589466996,-4.643738049,137.441632997,-4501.04
5,-4.589466996,-4.643738049,137.441632997,-4501.04
12,-4.589466996,-4.643738049,137.441632997,-4501.04
12,-4.589466996,-4.643738049,137.441632997,-4501.04
15,-4.589466996,-4.643738049,137.441632997,-4501.04
15,-4.589466996,-4.643738049,137.441632997,-4501.04
15,-4.589466996,-4.643738049,137.441632997,-4501.04
15,-4.589466996,-4.643738049,137.441632997,-4501.04
15,-4.589466996,-4.643738049,137.441632997,-4501.04
15,-4.589466996,-4.643738049,137.441632997,-4501.04
15,-4.589466996,-4.643738049,137.441632997,-4501.04
15,-4.589466996,-4.643738049,137.441632997,-4501.04
15,-4.589466996,-4.643738049,137.441632997,-4501.04
15,-4.589466996,-4.643738049,137.441632997,-4501.04
16,-4.589472074,-4.643743185,137.441647168,-4501.071
16,-4.589472074,-4.643743185,137.441647168,-4501.071
16,-4.589493294,-4.643764655,137.441703373,-4501.094
16,-4.589493294,-4.643764655,137.441703373,-4501.094
16,-4.589493294,-4.643764655,137.441703373,-4501.094
16,-4.589465001,-4.64373603,137.441734,-4501.21
21,-4.589465001,-4.64373603,137.441734,-4501.21
21,-4.58940083,-4.643671107,137.441685971,-4501.48
21,-4.58940083,-4.643671107,137.441685971,-4501.48
21,-4.58940083,-4.643671107,137.441685971,-4501.48
22,-4.589345642,-4.643615272,137.441699705,-4501.746
22,-4.589345642,-4.643615272,137.441699705,-4501.746
22,-4.589348135,-4.643617794,137.441707878,-4501.783
22,-4.589350627,-4.643620315,137.441716064,-4501.81
22,-4.589353147,-4.643622865,137.44172425,-4501.823
22,-4.589355716,-4.643625464,137.44173242,-4501.839
22,-4.589358339,-4.643628117,137.441740567,-4501.862
22,-4.589360842,-4.64363065,137.441748751,-4501.885
22,-4.589363088,-4.643632922,137.441757005,-4501.914
22,-4.589365526,-4.643635389,137.441765197,-4501.95
22,-4.589368109,-4.643638003,137.441773348,-4501.982
22,-4.58937066,-4.643640583,137.441781509,-4502.016
22,-4.58937327,-4.643643224,137.44178965,-4502.05
22,-4.589375705,-4.643645687,137.44179784,-4502.086
22,-4.589377925,-4.643647933,137.441806093,-4502.123
22,-4.589380168,-4.643650203,137.441814346,-4502.153
22,-4.589382544,-4.643652606,137.44182257,-4502.175
22,-4.58938508,-4.643655173,137.441830748,-4502.194
22,-4.589387625,-4.643657747,137.441838924,-4502.214
22,-4.589390159,-4.643660311,137.441847098,-4502.239
22,-4.589392679,-4.643662861,137.441855277,-4502.263
22,-4.589395226,-4.643665437,137.441863448,-4502.287
22,-4.589397582,-4.643667821,137.441871674,-4502.312
22,-4.589399775,-4.643670039,137.441879943,-4502.341
22,-4.589403124,-4.643673428,137.441892534,-4502.38
22,-4.589403124,-4.643673428,137.441892534,-4502.38
22,-4.589403124,-4.643673428,137.441892534,-4502.38
24,-4.589403124,-4.643673428,137.441892534,-4502.38
24,-4.589403124,-4.643673428,137.441892534,-4502.38
24,-4.589403124,-4.643673428,137.441892534,-4502.38
24,-4.589400414,-4.643670686,137.441900368,-4502.421
24,-4.589395044,-4.643665253,137.441916062,-4502.498
24,-4.589386852,-4.643656965,137.441939578,-4502.595
24,-4.589378779,-4.643648797,137.441963147,-4502.681
24,-4.589370908,-4.643640834,137.441986793,-4502.758
24,-4.589360747,-4.643630554,137.442018402,-4502.887
24,-4.589350458,-4.643620145,137.442049998,-4502.988
24,-4.589339511,-4.643609069,137.442081411,-4503.027
24,-4.589343396,-4.643613,137.442113228,-4502.944
24,-4.589343396,-4.643613,137.442113228,-4502.944
24,-4.589343396,-4.643613,137.442113228,-4502.944
24,-4.589343396,-4.643613,137.442113228,-4502.944
24,-4.589397904,-4.643668146,137.442142886,-4502.602
24,-4.589446954,-4.643717772,137.442181325,-4502.6
24,-4.589446954,-4.643717772,137.442181325,-4502.6
24,-4.589446954,-4.643717772,137.442181325,-4502.6
26,-4.589470293,-4.643741384,137.442203389,-4502.652
26,-4.589470293,-4.643741384,137.442203389,-4502.652
26,-4.589470293,-4.643741384,137.442203389,-4502.652
26,-4.589477857,-4.643749037,137.44220657,-4502.654
26,-4.589485442,-4.643756711,137.442209698,-4502.662
26,-4.589500599,-4.643772045,137.442215988,-4502.674
26,-4.589515743,-4.643787367,137.442222311,-4502.681
26,-4.589500591,-4.643772037,137.442216006,-4502.674
26,-4.589500591,-4.643772037,137.442216006,-4502.674
26,-4.589500591,-4.643772037,137.442216006,-4502.674
26,-4.589500591,-4.643772037,137.442216006,-4502.674
26,-4.589500591,-4.643772037,137.442216006,-4502.674
26,-4.589507545,-4.643779073,137.44222036,-4502.681
26,-4.589514516,-4.643786126,137.442224687,-4502.69
26,-4.589528396,-4.643800168,137.442233438,-4502.71
26,-4.589542296,-4.643814231,137.442242155,-4502.733
26,-4.589528407,-4.64380018,137.44223342,-4502.71
26,-4.589528407,-4.64380018,137.44223342,-4502.71
26,-4.589528407,-4.64380018,137.44223342,-4502.71
26,-4.589528407,-4.64380018,137.44223342,-4502.71
26,-4.58958496,-4.643857395,137.442292851,-4502.856
26,-4.58958496,-4.643857395,137.442292851,-4502.856
26,-4.58958496,-4.643857395,137.442292851,-4502.856
26,-4.589640638,-4.643913726,137.442353088,-4503.015
26,-4.589695316,-4.643969045,137.442414247,-4503.055
26,-4.589749343,-4.644023705,137.442475987,-4503.03
26,-4.589749343,-4.644023705,137.442475987,-4503.03
26,-4.589749343,-4.644023705,137.442475987,-4503.03
29,-4.589749343,-4.644023705,137.442475987,-4503.03
29,-4.589756022,-4.644030463,137.442482363,-4503.04
29,-4.589762645,-4.644037163,137.4424888,-4503.038
29,-4.589769344,-4.64404394,137.442495154,-4503.026
29,-4.589776172,-4.644050849,137.442501365,-4503.007
29,-4.589782953,-4.644057709,137.442507628,-4502.988
29,-4.589789724,-4.64406456,137.442513905,-4502.974
29,-4.589796471,-4.644071386,137.442520211,-4502.968
29,-4.589803192,-4.644078185,137.442526546,-4502.966
29,-4.589809906,-4.644084978,137.442532888,-4502.962
29,-4.589816618,-4.644091768,137.442539232,-4502.956
29,-4.58982336,-4.64409859,137.442545543,-4502.955
29,-4.5898301,-4.644105409,137.442551858,-4502.953
29,-4.58983681,-4.644112198,137.442558203,-4502.952
29,-4.589843504,-4.644118969,137.442564565,-4502.961
29,-4.589850131,-4.644125675,137.442570989,-4502.981
29,-4.589856904,-4.644132527,137.442577258,-4503.002
29,-4.589863859,-4.644139563,137.442583324,-4503.023
29,-4.589870646,-4.64414643,137.442589573,-4503.046
29,-4.589877432,-4.644153296,137.442595829,-4503.066
29,-4.589884299,-4.644160243,137.442601995,-4503.084
29,-4.589891007,-4.64416703,137.442608337,-4503.102
29,-4.589897734,-4.644173836,137.442614654,-4503.124
29,-4.589904509,-4.64418069,137.442620923,-4503.143
29,-4.589911279,-4.64418754,137.442627195,-4503.164
29,-4.589918002,-4.644194341,137.442633521,-4503.181
29,-4.589924748,-4.644201166,137.442639824,-4503.195
29,-4.589931475,-4.644207972,137.442646147,-4503.211
29,-4.58993819,-4.644214766,137.442652486,-4503.22
29,-4.589944919,-4.644221574,137.442658812,-4503.226
29,-4.589951622,-4.644228355,137.442665166,-4503.22
29,-4.589958448,-4.644235261,137.442671387,-4503.222
29,-4.58996531,-4.644242204,137.442677566,-4503.222
29,-4.589972044,-4.644249016,137.442683886,-4503.232
29,-4.589978876,-4.644255929,137.4426901,-4503.238
29,-4.589978876,-4.644255929,137.4426901,-4503.238
29,-4.589984271,-4.644261387,137.442697592,-4503.253
29,-4.589989674,-4.644266853,137.442705079,-4503.268
29,-4.589995077,-4.64427232,137.442712558,-4503.292
29,-4.590000417,-4.644277722,137.442720084,-4503.316
29,-4.590005728,-4.644283096,137.442727632,-4503.336
29,-4.590011015,-4.644288444,137.442735202,-4503.347
29,-4.590016291,-4.644293782,137.442742782,-4503.352
29,-4.590021519,-4.644299072,137.442750394,-4503.361
29,-4.590026775,-4.644304389,137.442757986,-4503.369
29,-4.590032036,-4.644309712,137.442765577,-4503.376
29,-4.59003732,-4.644315058,137.442773151,-4503.383
29,-4.590042586,-4.644320385,137.442780738,-4503.386
29,-4.590047864,-4.644325725,137.442788318,-4503.386
29,-4.59005312,-4.644331043,137.442795911,-4503.383
29,-4.590058409,-4.644336394,137.442803483,-4503.384
29,-4.590063639,-4.644341685,137.442811095,-4503.389
29,-4.590068872,-4.644346979,137.442818705,-4503.391
29,-4.590074157,-4.644352326,137.442826279,-4503.391
29,-4.590079439,-4.644357671,137.442833854,-4503.394
29,-4.590084711,-4.644363004,137.442841437,-4503.401
29,-4.590089947,-4.644368302,137.442849044,-4503.408
29,-4.590121256,-4.644399978,137.442893839,-4503.53
29,-4.590121256,-4.644399978,137.442893839,-4503.53
29,-4.590121256,-4.644399978,137.442893839,-4503.53
29,-4.590121255,-4.644399977,137.442893838,-4503.53
29,-4.590121255,-4.644399977,137.442893838,-4503.53
29,-4.590121255,-4.644399977,137.442893838,-4503.53
29,-4.590121255,-4.644399977,137.442893838,-4503.53
38,-4.590121255,-4.644399977,137.442893838,-4503.53
38,-4.590123767,-4.644402518,137.442899984,-4503.553
38,-4.590126277,-4.644405057,137.44290613,-4503.577
38,-4.590128746,-4.644407555,137.442912297,-4503.597
38,-4.590131179,-4.644410017,137.442918485,-4503.605
38,-4.590133604,-4.64441247,137.442924677,-4503.608
38,-4.59013599,-4.644414884,137.442930885,-4503.61
38,-4.590138346,-4.644417268,137.442937105,-4503.613
38,-4.590140744,-4.644419694,137.442943307,-4503.619
38,-4.590143134,-4.644422112,137.442949513,-4503.626
38,-4.590145557,-4.644424563,137.442955706,-4503.633
38,-4.590147952,-4.644426986,137.442961909,-4503.638
38,-4.590150261,-4.644429323,137.442968146,-4503.635
38,-4.590152689,-4.644431779,137.442974338,-4503.634
38,-4.590155257,-4.644434377,137.442980473,-4503.639
38,-4.590157856,-4.644437007,137.442986591,-4503.651
38,-4.590160451,-4.644439632,137.442992705,-4503.672
38,-4.590163023,-4.644442234,137.44299882,-4503.7
38,-4.590165624,-4.644444866,137.443004925,-4503.727
38,-4.590168174,-4.644447446,137.443011044,-4503.758
38,-4.5901704,-4.644449698,137.443016853,-4503.791
38,-4.59017267,-4.644451995,137.443023197,-4503.829
38,-4.590175053,-4.644454405,137.443029378,-4503.853
38,-4.590177506,-4.644456887,137.443035553,-4503.869
38,-4.590179899,-4.644459308,137.443041755,-4503.881
38,-4.590182284,-4.644461721,137.443047962,-4503.892
38,-4.590184667,-4.644464132,137.44305417,-4503.898
38,-4.590187055,-4.644466548,137.443060374,-4503.91
38,-4.590189442,-4.644468963,137.443066575,-4503.928
38,-4.590191839,-4.644471388,137.443072766,-4503.951
38,-4.590194215,-4.644473792,137.443078965,-4503.975
38,-4.59019671,-4.644476316,137.443085116,-4504.0
38,-4.590199348,-4.644478985,137.443091209,-4504.023
38,-4.59020198,-4.644481648,137.443097312,-4504.037
38,-4.590204615,-4.644484314,137.443103418,-4504.043
38,-4.590207135,-4.644486863,137.443109568,-4504.055
38,-4.590209557,-4.644489313,137.44311575,-4504.079
38,-4.590212043,-4.644491829,137.443121902,-4504.105
38,-4.5902145,-4.644494315,137.443128064,-4504.133
38,-4.59021686,-4.644496702,137.443134269,-4504.158
38,-4.59021901,-4.644498877,137.443140325,-4504.196
38,-4.59021901,-4.644498877,137.443140325,-4504.196
38,-4.590220156,-4.644500037,137.44314685,-4504.231
38,-4.590221266,-4.64450116,137.443153381,-4504.266
38,-4.590222383,-4.64450229,137.443159924,-4504.29
38,-4.590223568,-4.644503489,137.443166461,-4504.308
38,-4.590224628,-4.644504561,137.443173026,-4504.311
38,-4.590225441,-4.644505384,137.443179626,-4504.308
38,-4.590226433,-4.644506387,137.443186202,-4504.308
38,-4.59022746,-4.644507426,137.443192772,-4504.311
38,-4.590228466,-4.644508444,137.443199345,-4504.316
38,-4.59022952,-4.64450951,137.443205904,-4504.334
38,-4.590230431,-4.644510432,137.443212472,-4504.365
38,-4.59023134,-4.644511352,137.443219028,-4504.404
38,-4.59023227,-4.644512293,137.443225583,-4504.441
38,-4.590233109,-4.644513142,137.443232168,-4504.465
38,-4.590233981,-4.644514024,137.443238759,-4504.477
38,-4.590235022,-4.644515078,137.443245325,-4504.487
38,-4.590236068,-4.644516136,137.443251888,-4504.502
38,-4.59023712,-4.6445172,137.443258445,-4504.524
38,-4.590238187,-4.644518279,137.443265,-4504.546
38,-4.590239257,-4.644519362,137.443271558,-4504.561
38,-4.590240215,-4.644520331,137.443278133,-4504.579
38,-4.590241044,-4.64452117,137.443284657,-4504.591
38,-4.5902435,-4.644523654,137.443301601,-4504.62
38,-4.5902435,-4.644523654,137.443301601,-4504.62
38,-4.5902435,-4.644523654,137.443301601,-4504.62
38,-4.5902435,-4.644523654,137.443301601,-4504.62
39,-4.5902435,-4.644523654,137.443301601,-4504.62
39,-4.59027804,-4.644558599,137.443373412,-4504.633
39,-4.59029327,-4.644574008,137.443422935,-4504.639
39,-4.590299361,-4.644580171,137.443457041,-4504.591
39,-4.590300707,-4.644581532,137.443465034,-4504.585
39,-4.59032496,-4.644606069,137.443592535,-4504.712
39,-4.590326524,-4.644607651,137.443601054,-4504.718
39,-4.590326524,-4.644607651,137.443601054,-4504.718
39,-4.590318489,-4.644599523,137.443663256,-4504.7
39,-4.590318489,-4.644599523,137.443663256,-4504.7
39,-4.590318489,-4.644599523,137.443663256,-4504.7
40,-4.590318489,-4.644599523,137.443663256,-4504.7
40,-4.59031475,-4.64459574,137.443670225,-4504.711
40,-4.590310958,-4.644591904,137.443677162,-4504.728
40,-4.590307129,-4.644588029,137.44368408,-4504.742
40,-4.590303249,-4.644584104,137.443690971,-4504.756
40,-4.590299367,-4.644580177,137.443697861,-4504.769
40,-4.590295512,-4.644576276,137.443704766,-4504.78
40,-4.590291677,-4.644572396,137.443711683,-4504.791
40,-4.590287836,-4.64456851,137.443718596,-4504.803
40,-4.590284037,-4.644564666,137.443725532,-4504.816
40,-4.590280237,-4.644560822,137.443732469,-4504.825
40,-4.590276423,-4.644556964,137.443739399,-4504.829
40,-4.590272589,-4.644553084,137.443746319,-4504.83
40,-4.59026874,-4.644549191,137.44375323,-4504.827
40,-4.590264849,-4.644545254,137.443760116,-4504.818
40,-4.590260935,-4.644541294,137.443766989,-4504.809
40,-4.590257088,-4.644537402,137.443773902,-4504.812
40,-4.590253189,-4.644533457,137.443780785,-4504.812
40,-4.590249271,-4.644529493,137.443787657,-4504.807
40,-4.590245333,-4.644525509,137.443794513,-4504.791
40,-4.590241653,-4.644521786,137.443800965,-4504.771
40,-4.590237987,-4.644518077,137.443807232,-4504.754
40,-4.590234144,-4.644514189,137.443814126,-4504.744
40,-4.590230325,-4.644510325,137.443821053,-4504.742
40,-4.590226513,-4.644506468,137.443827985,-4504.74
40,-4.590222725,-4.644502636,137.44383493,-4504.736
40,-4.590219012,-4.64449888,137.443841915,-4504.73
40,-4.590215322,-4.644495146,137.443848912,-4504.729
40,-4.590211714,-4.644491496,137.44385595,-4504.74
40,-4.590208041,-4.64448778,137.443862946,-4504.762
40,-4.590204169,-4.644483863,137.443869834,-4504.785
40,-4.590200206,-4.644479853,137.443876671,-4504.806
40,-4.590196345,-4.644475947,137.443883574,-4504.815
40,-4.590192666,-4.644472224,137.443890578,-4504.814
40,-4.590189013,-4.644468529,137.443897594,-4504.81
40,-4.590185336,-4.644464809,137.443904599,-4504.809
40,-4.590181724,-4.644461155,137.443911637,-4504.809
40,-4.590177998,-4.644457385,137.443918614,-4504.812
40,-4.590174124,-4.644453465,137.443925511,-4504.809
40,-4.590170177,-4.644449472,137.443932366,-4504.802
40,-4.590166334,-4.644445584,137.44393928,-4504.798
40,-4.590162872,-4.644442081,137.443945874,-4504.808
40,-4.590159199,-4.644438365,137.4439528,-4504.814
40,-4.59015552,-4.644434644,137.443959774,-4504.837
40,-4.590151868,-4.644430948,137.443966787,-4504.85
40,-4.5901482,-4.644427238,137.443973796,-4504.856
40,-4.590144548,-4.644423542,137.443980812,-4504.865
40,-4.590140748,-4.644419698,137.443987744,-4504.881
40,-4.590136778,-4.644415682,137.443994582,-4504.897
40,-4.590132974,-4.644411833,137.444001516,-4504.908
40,-4.590129251,-4.644408066,137.444008493,-4504.914
40,-4.590125335,-4.644404104,137.444015367,-4504.913
40,-4.590121395,-4.644400118,137.444022224,-4504.901
40,-4.59011746,-4.644396137,137.444029076,-4504.878
40,-4.590113535,-4.644392166,137.444035921,-4504.844
40,-4.590109615,-4.6443882,137.444042769,-4504.811
40,-4.590105703,-4.644384243,137.444049636,-4504.79
40,-4.590101822,-4.644380316,137.444056523,-4504.774
40,-4.590097991,-4.64437644,137.444063433,-4504.751
40,-4.59009417,-4.644372574,137.444070348,-4504.726
40,-4.590090344,-4.644368703,137.444077254,-4504.697
40,-4.590086503,-4.644364817,137.444084155,-4504.67
40,-4.59008289,-4.644361162,137.444090663,-4504.651
40,-4.590079143,-4.644357371,137.44409741,-4504.634
40,-4.590075317,-4.6443535,137.44410431,-4504.618
40,-4.590071492,-4.64434963,137.444111229,-4504.601
40,-4.590067726,-4.64434582,137.444118169,-4504.573
40,-4.590063947,-4.644341997,137.444125102,-4504.545
40,-4.59006012,-4.644338125,137.444132012,-4504.519
40,-4.590056311,-4.644334271,137.444138937,-4504.498
40,-4.590052599,-4.644330516,137.444145913,-4504.476
40,-4.59004896,-4.644326834,137.444152935,-4504.464
40,-4.590036464,-4.644314191,137.444177658,-4504.45
40,-4.590036464,-4.644314191,137.444177658,-4504.45
40,-4.590036464,-4.644314191,137.444177658,-4504.45
41,-4.590036464,-4.644314191,137.444177658,-4504.45
41,-4.59003292,-4.644310606,137.444185183,-4504.456
41,-4.590029412,-4.644307057,137.444192724,-4504.462
41,-4.59002586,-4.644303463,137.444200245,-4504.468
41,-4.590022309,-4.644299871,137.444207766,-4504.475
41,-4.590018755,-4.644296276,137.444215284,-4504.487
41,-4.590015179,-4.644292657,137.44422279,-4504.503
41,-4.590011611,-4.644289047,137.444230297,-4504.522
41,-4.590008038,-4.644285432,137.444237801,-4504.542
