sol,planetocentric_latitude,longitude,elevation
2300,-4.72927702,137.379310998,-4139.788
2300,-4.729286583,137.379324298,-4139.758
2300,-4.729296383,137.379337816,-4139.761
2300,-4.72930592,137.379350917,-4139.777
2300,-4.729316005,137.37936486,-4139.8
2300,-4.729325599,137.379377988,-4139.807
2300,-4.729334886,137.379391091,-4139.793
2300,-4.729344377,137.379404386,-4139.794
2300,-4.729354201,137.379418042,-4139.834
2300,-4.729363791,137.379431035,-4139.882
2300,-4.729373528,137.37944448,-4139.912
2300,-4.729383095,137.379457709,-4139.927
2300,-4.729390939,137.37946841,-4139.902
2300,-4.729390406,137.379467878,-4139.893
2300,-4.729376876,137.379479536,-4139.908
2300,-4.729365015,137.379490226,-4139.922
2300,-4.729349345,137.379504087,-4139.942
2300,-4.729345877,137.379507213,-4139.954
2300,-4.729336823,137.379515894,-4139.967
2300,-4.729325298,137.379527529,-4139.987
2300,-4.729313554,137.379539625,-4140.024
2300,-4.729301845,137.379551742,-4140.054
2300,-4.729287946,137.379565915,-4140.059
2300,-4.72928662,137.379567304,-4140.057
2300,-4.729286267,137.379567195,-4140.052
2300,-4.729286008,137.379567316,-4140.051
2300,-4.729285874,137.37956729,-4140.046
2300,-4.729273547,137.379569365,-4140.06
2302,-4.729273637,137.379569372,-4140.062
2302,-4.729273791,137.379569364,-4140.071
2302,-4.729273715,137.379569405,-4140.068
2302,-4.729263953,137.379582122,-4140.073
2302,-4.729253865,137.37959525,-4140.077
2302,-4.729243527,137.379608791,-4140.119
2302,-4.729233366,137.379622183,-4140.183
2302,-4.72922299,137.379635682,-4140.278
2302,-4.729212744,137.379649305,-4140.386
2302,-4.729202457,137.379662842,-4140.506
2302,-4.729192181,137.379676206,-4140.636
2302,-4.729181792,137.379689515,-4140.777
2302,-4.729171441,137.379703016,-4140.913
2302,-4.729161013,137.379716603,-4141.057
2302,-4.729150741,137.379730122,-4141.177
2302,-4.729140359,137.379743608,-4141.279
2302,-4.729129882,137.379757156,-4141.384
2302,-4.729119459,137.37977083,-4141.461
2302,-4.729109034,137.37978446,-4141.512
