sol,planetocentric_latitude,longitude,elevation
2800,-4.733660025,137.388189962,-4092.528
2800,-4.733646017,137.388189093,-4092.781
2800,-4.733632724,137.388188643,-4092.935
2800,-4.733620299,137.388189122,-4093.096
2800,-4.733604958,137.388191071,-4093.257
2800,-4.733587881,137.388193545,-4093.388
2800,-4.733588043,137.38819382,-4093.394
2800,-4.733572766,137.388195627,-4093.533
2800,-4.733562856,137.38819642,-4093.656
2800,-4.733561645,137.388196642,-4093.686
2800,-4.733575239,137.388197752,-4093.529
2800,-4.733585782,137.388197842,-4093.437
2800,-4.73359984,137.388198051,-4093.306
2800,-4.73361315,137.388197822,-4093.132
2800,-4.73362624,137.388197399,-4092.979
2800,-4.733624409,137.388196795,-4093.003
2800,-4.733624055,137.388196874,-4093.01
2800,-4.733624054,137.388196874,-4093.01
2800,-4.733624054,137.388196874,-4093.01
2800,-4.733624054,137.388196874,-4093.01
2800,-4.733624054,137.388196874,-4093.01
2800,-4.733624054,137.388196874,-4093.01
2800,-4.733624054,137.388196874,-4093.01
2800,-4.733624054,137.388196874,-4093.01
2800,-4.733624054,137.388196874,-4093.01
2800,-4.733624054,137.388196874,-4093.01
2800,-4.733624054,137.388196874,-4093.01
2800,-4.733624054,137.388196874,-4093.01
2800,-4.733624054,137.388196874,-4093.01
2800,-4.733624054,137.388196874,-4093.01
2802,-4.73362357,137.388196348,-4093.035
2802,-4.733624757,137.388195489,-4092.98
2802,-4.733607989,137.388199772,-4093.283
2802,-4.733593075,137.388204028,-4093.538
2802,-4.733576827,137.388208479,-4093.8
2802,-4.733560411,137.388212625,-4094.027
2802,-4.733544328,137.388216777,-4094.258
2802,-4.733528687,137.388221045,-4094.44
2802,-4.733511141,137.388225794,-4094.643
2802,-4.733497335,137.388229465,-4094.838
2802,-4.733480673,137.388233211,-4095.036
2802,-4.733466576,137.388235563,-4095.103
2802,-4.733453109,137.388238619,-4095.27
2802,-4.73343899,137.388242164,-4095.465
2802,-4.733427202,137.388245819,-4095.553
2802,-4.733411281,137.388251784,-4095.733
2802,-4.733391625,137.388258834,-4095.975
2802,-4.733388755,137.388259935,-4096.005
2802,-4.733388672,137.388259379,-4096.018
2802,-4.73337477,137.388266325,-4096.179
2802,-4.733360073,137.388273673,-4096.4
2802,-4.733344934,137.388282218,-4096.625
2802,-4.733330032,137.388290744,-4096.807
2802,-4.733315258,137.38829917,-4097.01
2802,-4.733300896,137.388307442,-4097.213
2802,-4.733285506,137.38831637,-4097.413
2802,-4.733270956,137.388325152,-4097.569
2802,-4.733256533,137.388333886,-4097.712
2802,-4.733242875,137.388341979,-4097.849
2802,-4.733242343,137.388341825,-4097.848
2802,-4.733241776,137.388341946,-4097.847
2802,-4.733232861,137.388357097,-4097.949
2802,-4.733225412,137.388371481,-4098.044
2802,-4.733217488,137.388386306,-4098.142
2802,-4.733209741,137.388400802,-4098.199
2802,-4.733202055,137.388415059,-4098.244
2802,-4.733193969,137.38843016,-4098.274
2802,-4.733188704,137.388440749,-4098.277
2802,-4.733181264,137.388456741,-4098.291
2802,-4.733173249,137.38847441,-4098.337
2802,-4.733172711,137.388475767,-4098.336
2802,-4.733167563,137.388486549,-4098.393
2802,-4.733161698,137.388496413,-4098.414
2802,-4.733153239,137.388510285,-4098.458
2802,-4.733145146,137.388523354,-4098.489
2802,-4.733136665,137.388536996,-4098.549
2802,-4.733128468,137.388550119,-4098.561
2802,-4.733119313,137.388564044,-4098.599
2802,-4.733110619,137.388576646,-4098.577
2802,-4.733104134,137.388586642,-4098.633
