sol,planetocentric_latitude,longitude,elevation
581,-4.636340723,137.402171819,-4478.678
581,-4.636355926,137.402175666,-4478.663
581,-4.636371515,137.40217939,-4478.674
581,-4.636379192,137.40218124,-4478.686
581,-4.636386169,137.402182839,-4478.708
581,-4.636386536,137.402182759,-4478.697
581,-4.636386536,137.402182759,-4478.697
581,-4.636386375,137.402182268,-4478.71
586,-4.63637397,137.402184233,-4478.708
586,-4.636360703,137.402186313,-4478.717
586,-4.636360957,137.402185527,-4478.726
586,-4.636361062,137.402185276,-4478.727
586,-4.636360739,137.402184903,-4478.733
586,-4.636360631,137.40218485,-4478.74
587,-4.636362579,137.402186821,-4478.728
587,-4.636359412,137.402183522,-4478.74
587,-4.636356049,137.402180065,-4478.763
587,-4.636352805,137.402176677,-4478.777
587,-4.636349237,137.402172909,-4478.801
587,-4.636349237,137.402172909,-4478.801
587,-4.636347427,137.402179624,-4478.744
587,-4.636339933,137.402210749,-4478.534
587,-4.636331561,137.402241549,-4478.271
587,-4.636323103,137.40227248,-4478.081
587,-4.636314743,137.402303519,-4477.946
587,-4.636306274,137.402334569,-4477.846
587,-4.636291692,137.40239709,-4477.509
587,-4.636286347,137.402420297,-4477.395
587,-4.636272095,137.402482985,-4477.1
587,-4.636268652,137.402498795,-4477.04
587,-4.636268652,137.402498795,-4477.04
587,-4.636268652,137.402498795,-4477.04
588,-4.636268652,137.402498795,-4477.04
588,-4.636278118,137.402513021,-4477.03
588,-4.636287152,137.402526838,-4477.016
588,-4.636296529,137.402541095,-4477.032
588,-4.636305183,137.402554475,-4477.011
588,-4.636314697,137.402568728,-4477.006
588,-4.63632409,137.402582736,-4476.991
588,-4.636333474,137.402596465,-4476.996
588,-4.636342471,137.402610302,-4477.016
588,-4.636351921,137.402624606,-4477.03
588,-4.63636115,137.402638339,-4477.046
588,-4.636370517,137.402652353,-4477.048
588,-4.636380026,137.402666408,-4477.03
588,-4.636389408,137.402680269,-4477.055
588,-4.636398844,137.402694192,-4477.055
