sol,planetocentric_latitude,longitude,elevation
751,-4.661053244,137.376779474,-4459.701
751,-4.661053325,137.376780452,-4459.676
751,-4.661065093,137.376776334,-4459.632
751,-4.661077364,137.376770825,-4459.602
751,-4.661088271,137.376765262,-4459.601
751,-4.661099511,137.376758784,-4459.626
751,-4.661110395,137.376751268,-4459.661
751,-4.66111999,137.376743863,-4459.696
751,-4.66113294,137.376733152,-4459.758
751,-4.661145856,137.376722259,-4459.852
751,-4.661157966,137.376711382,-4459.963
751,-4.661167854,137.376703367,-4460.061
751,-4.661181059,137.376693356,-4460.232
751,-4.661194371,137.376683159,-4460.375
751,-4.661207405,137.37667284,-4460.469
751,-4.661220758,137.37666263,-4460.554
751,-4.661230121,137.376654906,-4460.611
751,-4.661239709,137.376647147,-4460.643
751,-4.661253125,137.3766367,-4460.692
751,-4.66126551,137.376626871,-4460.774
751,-4.661278548,137.376616962,-4460.877
751,-4.661291916,137.376606712,-4460.963
751,-4.66130544,137.376596679,-4461.064
751,-4.661319008,137.376586628,-4461.158
751,-4.661332319,137.376576561,-4461.263
751,-4.661345755,137.376566417,-4461.345
751,-4.661359309,137.376556427,-4461.416
751,-4.661373031,137.376546288,-4461.481
751,-4.661386388,137.37653648,-4461.538
751,-4.661399574,137.376526551,-4461.594
751,-4.661413213,137.37651676,-4461.638
751,-4.66142652,137.37650702,-4461.69
751,-4.661439746,137.376497466,-4461.735
751,-4.661453166,137.37648772,-4461.778
751,-4.661466701,137.376478192,-4461.784
751,-4.661480452,137.37646874,-4461.763
751,-4.661493989,137.376459513,-4461.74
751,-4.661504439,137.376452077,-4461.705
751,-4.661517416,137.376441914,-4461.707
751,-4.661530164,137.376431438,-4461.727
751,-4.661542906,137.37642107,-4461.749
751,-4.661555744,137.376410786,-4461.743
751,-4.661569118,137.376400194,-4461.738
751,-4.661581467,137.376390382,-4461.714
751,-4.661593209,137.376381163,-4461.679
751,-4.661593743,137.376381621,-4461.664
751,-4.661604094,137.376394443,-4461.657
751,-4.661614242,137.376407112,-4461.64
751,-4.661622632,137.376417163,-4461.643
751,-4.661633314,137.376429629,-4461.662
751,-4.66164437,137.37644156,-4461.686
751,-4.661655675,137.376453741,-4461.716
751,-4.661666716,137.376465964,-4461.763
751,-4.661677374,137.37647771,-4461.803
751,-4.661688592,137.376489948,-4461.853
751,-4.661700138,137.37650251,-4461.897
751,-4.661710908,137.376514245,-4461.962
751,-4.661722202,137.376526695,-4462.041
751,-4.661732988,137.376539108,-4462.15
751,-4.661743478,137.37655217,-4462.251
751,-4.661752757,137.376564628,-4462.3
751,-4.66176369,137.376578485,-4462.316
751,-4.661774305,137.376590793,-4462.328
751,-4.661785066,137.376602905,-4462.349
751,-4.661795119,137.3766148,-4462.34
751,-4.661805178,137.376627992,-4462.342
