sol,planetocentric_latitude,longitude,elevation
55,-4.590065295,137.447940258,-4516.55
55,-4.590073475,137.447953065,-4516.485
55,-4.590082664,137.447966306,-4516.41
55,-4.590093005,137.447979134,-4516.361
55,-4.590103425,137.447992365,-4516.327
55,-4.590113337,137.448005699,-4516.297
55,-4.590123039,137.448018795,-4516.316
55,-4.590130913,137.448034245,-4516.445
55,-4.590135423,137.448051185,-4516.589
55,-4.590139098,137.448067938,-4516.721
55,-4.590142514,137.448085173,-4516.866
55,-4.590146672,137.448103241,-4517.035
55,-4.590150783,137.448120437,-4517.173
55,-4.590151601,137.448137766,-4517.275
55,-4.590147507,137.448154353,-4517.383
55,-4.590142621,137.448171059,-4517.454
55,-4.590137723,137.448187819,-4517.559
55,-4.590133022,137.448203899,-4517.653
55,-4.590128644,137.44822138,-4517.742
55,-4.59012351,137.44823849,-4517.796
55,-4.590114652,137.448253515,-4517.78
55,-4.590103011,137.448264381,-4517.755
55,-4.590090465,137.448274594,-4517.763
55,-4.590077823,137.448285695,-4517.791
55,-4.590077744,137.44828571,-4517.797
55,-4.590062697,137.448296616,-4517.85
55,-4.590062697,137.448296616,-4517.85
55,-4.590062697,137.448296616,-4517.85
55,-4.590062697,137.448296616,-4517.85
55,-4.590062697,137.448296616,-4517.85
55,-4.590062697,137.448296616,-4517.85
56,-4.590078901,137.448296482,-4517.844
56,-4.590079239,137.448296472,-4517.842
56,-4.590078679,137.448297071,-4517.844
56,-4.590066742,137.448308117,-4517.88
56,-4.590054099,137.448319519,-4517.918
56,-4.590041859,137.448330728,-4517.949
56,-4.590029834,137.448340833,-4517.952
56,-4.590016674,137.448350889,-4517.91
56,-4.590016674,137.448350889,-4517.91
56,-4.590016674,137.448350889,-4517.91
57,-4.590016674,137.448350889,-4517.91
57,-4.5900209,137.448332492,-4517.908
57,-4.590021725,137.448328771,-4517.912
57,-4.590021726,137.448328774,-4517.912
57,-4.590021726,137.448328774,-4517.912
57,-4.590021725,137.448328771,-4517.912
57,-4.590019559,137.448339212,-4517.91
57,-4.590019559,137.448339212,-4517.91
57,-4.590019559,137.448339212,-4517.91
57,-4.590019559,137.448339214,-4517.91
57,-4.590019559,137.448339214,-4517.91
57,-4.590019559,137.448339214,-4517.91
59,-4.590022298,137.448351803,-4517.899
59,-4.590022324,137.448352481,-4517.904
59,-4.59002021,137.448367151,-4517.949
59,-4.590018257,137.448381921,-4517.974
59,-4.59001827,137.448381853,-4517.976
59,-4.590018418,137.448382216,-4517.971
59,-4.590018587,137.448382414,-4517.976
59,-4.590010566,137.448373091,-4517.98
59,-4.590002443,137.44836352,-4517.963
59,-4.590002443,137.44836352,-4517.963
59,-4.589996255,137.448355102,-4517.942
59,-4.589995748,137.44835439,-4517.941
59,-4.589996628,137.448354751,-4517.929
59,-4.589996661,137.448355193,-4517.92
59,-4.589995685,137.448342406,-4517.893
59,-4.5899956,137.448341588,-4517.887
59,-4.5899956,137.448341588,-4517.887
59,-4.58999567,137.448341795,-4517.89
100,-4.589995765,137.448341528,-4517.871
100,-4.589995937,137.448341273,-4517.873
100,-4.589996544,137.448341668,-4517.87
100,-4.589996464,137.448342008,-4517.899
100,-4.589996595,137.448341961,-4517.865
100,-4.589997137,137.448341536,-4517.872
100,-4.590008675,137.448328624,-4517.891
100,-4.590019161,137.448316649,-4517.899
100,-4.590019507,137.448316353,-4517.912
100,-4.590020068,137.448315622,-4517.893
100,-4.590021384,137.448310344,-4517.899
100,-4.590021384,137.448310344,-4517.899
100,-4.590021516,137.44831023,-4517.9
