sol,planetocentric_latitude,planetodetic_latitude,longitude,elevation
3000,-4.734052962,-4.790018139,137.398455075,-4081.705
3000,-4.734040579,-4.790005611,137.398453543,-4081.754
3000,-4.734024235,-4.789989076,137.398452146,-4081.862
3000,-4.734007852,-4.789972501,137.398450648,-4081.951
3000,-4.733991391,-4.789955848,137.398449123,-4082.031
3000,-4.733975166,-4.789939432,137.39844751,-4082.123
3000,-4.733958622,-4.789922695,137.39844607,-4082.229
3000,-4.733942125,-4.789906005,137.398444117,-4082.355
3000,-4.733925978,-4.789889669,137.398442235,-4082.448
3000,-4.733909874,-4.789873375,137.398440269,-4082.542
3000,-4.733893905,-4.78985722,137.398437847,-4082.609
3000,-4.733881058,-4.789844222,137.398436455,-4082.705
3000,-4.733864987,-4.789827963,137.398435231,-4082.793
3000,-4.733847766,-4.78981054,137.398434113,-4082.893
3000,-4.7338314,-4.789793982,137.398432958,-4083.002
3000,-4.733814801,-4.789777189,137.398431617,-4083.1
3000,-4.733798037,-4.789760228,137.398430372,-4083.192
3000,-4.733781572,-4.789743571,137.398429354,-4083.265
3000,-4.733765208,-4.789727016,137.398428305,-4083.321
3000,-4.733748861,-4.789710477,137.398427152,-4083.385
3000,-4.733728781,-4.789690162,137.398425918,-4083.465
3000,-4.733712245,-4.789673431,137.398425051,-4083.514
3000,-4.733696212,-4.789657211,137.398424128,-4083.576
3000,-4.73367997,-4.789640779,137.39842331,-4083.651
3000,-4.733663071,-4.789623682,137.398422301,-4083.712
3000,-4.733650377,-4.789610839,137.398421207,-4083.762
3000,-4.733635035,-4.789595318,137.398419292,-4083.824
3000,-4.733618632,-4.789578722,137.398417384,-4083.922
3000,-4.733601943,-4.789561838,137.398415324,-4084.032
3000,-4.733585085,-4.789544783,137.398413066,-4084.159
3000,-4.733568684,-4.78952819,137.398411004,-4084.265
3000,-4.733552319,-4.789511633,137.398408863,-4084.361
3000,-4.733535939,-4.789495061,137.398406792,-4084.434
3000,-4.733519478,-4.789478407,137.398404799,-4084.511
3000,-4.733503187,-4.789461925,137.398402783,-4084.593
3000,-4.733486141,-4.78944468,137.398400685,-4084.708
3000,-4.73346976,-4.789428107,137.398398672,-4084.81
3000,-4.73345283,-4.789410978,137.398396465,-4084.94
3000,-4.7334364,-4.789394356,137.398394353,-4085.056
3000,-4.73342003,-4.789377795,137.398392397,-4085.177
3000,-4.733403103,-4.789360669,137.398390308,-4085.329
3000,-4.733390151,-4.789347565,137.398389225,-4085.446
3000,-4.733373172,-4.789330387,137.398388424,-4085.604
3000,-4.733356092,-4.789313108,137.398387603,-4085.758
3000,-4.733334721,-4.789291486,137.398386647,-4085.938
3000,-4.73333307,-4.789289816,137.398386626,-4085.955
3000,-4.73333307,-4.789289816,137.398386626,-4085.955
3000,-4.733325379,-4.789282035,137.398390592,-4086.001
3000,-4.733295559,-4.789251865,137.3984067,-4086.179
3000,-4.733266063,-4.789222024,137.398422644,-4086.329
3000,-4.73320623,-4.78916149,137.398453897,-4086.619
3000,-4.733198687,-4.789153859,137.398457639,-4086.644
3000,-4.733178622,-4.789133559,137.398468175,-4086.725
3000,-4.733148577,-4.789103162,137.398484195,-4086.852
3000,-4.733104136,-4.789058201,137.39850823,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
3000,-4.733104136,-4.7890582,137.398508222,-4087.02
